,x,y,id,location_code,location,gene,gene_ensembl_id,cell_line,Uniprot
72671,-1.8817916,-1.6332453,41593_758_G6_1,0,Nucleoplasm,ANKRD11,ENSG00000167522,U-2 OS,Q6UB99 A0A087WTN8 A0A2R8Y438 A0A2R8Y4T9 A0A2R8Y5V1 A0A2R8Y728 A0A2R8Y7Z1 A0A2R8YE03 A0A2R8YE94 A0A2R8YEI0 H0Y2U4 H0Y3E3 H3BNU4 X5D778
72676,-2.5125387,-1.4137355,40834_557_G4_2,0,Nucleoplasm,NIPBL,ENSG00000164190,A-431,Q6KC79 A0A590UJS4 H0Y8M3
72702,-2.832444,-1.3772835,40834_557_G4_1,0,Nucleoplasm,NIPBL,ENSG00000164190,A-431,Q6KC79 A0A590UJS4 H0Y8M3
72703,-1.850154,-1.6073675,40834_1179_D8_2,0,Nucleoplasm,NIPBL,ENSG00000164190,SiHa,Q6KC79 A0A590UJS4 H0Y8M3
72704,-2.235811,-1.2917103,40834_1179_D8_1,0,Nucleoplasm,NIPBL,ENSG00000164190,SiHa,Q6KC79 A0A590UJS4 H0Y8M3
72901,-5.0745587,-0.4403404,42816_486_H3_1,0,Nucleoplasm,BRD2,ENSG00000204256,A-431,P25440 E9PIQ3 E9PKQ9 H0Y6K2 H0Y799 H0YDJ7 J3QR72 U3KPW0 U3KQA6
72902,-5.413714,-0.2525866,42816_486_H3_2,0,Nucleoplasm,BRD2,ENSG00000204256,A-431,P25440 E9PIQ3 E9PKQ9 H0Y6K2 H0Y799 H0YDJ7 J3QR72 U3KPW0 U3KQA6
73188,-2.860438,-1.7453703,47050_723_G5_1,0,Nucleoplasm,NRDE2,ENSG00000119720,MCF7,Q9H7Z3 G3V338 H0YJT0 H0YJT6
73189,-2.4851155,-2.0553648,47050_723_G5_2,0,Nucleoplasm,NRDE2,ENSG00000119720,MCF7,Q9H7Z3 G3V338 H0YJT0 H0YJT6
73573,-2.7122905,-2.0524473,45828_790_F6_1,0,Nucleoplasm,ERCC4,ENSG00000175595,U-251 MG,Q92889 I3L4K0 I3NI48
73574,-3.0260909,-1.8747131,45828_790_F6_2,0,Nucleoplasm,ERCC4,ENSG00000175595,U-251 MG,Q92889 I3L4K0 I3NI48
74245,-3.74216,-0.78218293,36152_593_G8_1,0,Nucleoplasm,SFMBT1,ENSG00000163935,A-431,Q9UHJ3 C9IY64 C9IZZ5 C9JWI3
74246,-3.742151,-0.9435189,36152_593_G8_2,0,Nucleoplasm,SFMBT1,ENSG00000163935,A-431,Q9UHJ3 C9IY64 C9IZZ5 C9JWI3
74247,-1.2371867,1.7270931,36152_594_G8_1,0,Nucleoplasm,SFMBT1,ENSG00000163935,U-251 MG,Q9UHJ3 C9IY64 C9IZZ5 C9JWI3
74248,-2.1837373,0.18747869,36152_594_G8_2,0,Nucleoplasm,SFMBT1,ENSG00000163935,U-251 MG,Q9UHJ3 C9IY64 C9IZZ5 C9JWI3
74376,-3.6232624,-1.0503469,35907_404_G8_1,0,Nucleoplasm,SLU7,ENSG00000164609,U-251 MG,O95391 A0A0C4DGD2 E5RGM7 E5RK41
74377,-0.38018048,-1.6696626,35907_404_G8_2,0,Nucleoplasm,SLU7,ENSG00000164609,U-251 MG,O95391 A0A0C4DGD2 E5RGM7 E5RK41
74378,-3.724153,-1.022527,35907_407_G8_1,0,Nucleoplasm,SLU7,ENSG00000164609,A-431,O95391 A0A0C4DGD2 E5RGM7 E5RK41
74379,-3.539375,-1.2290452,35907_407_G8_2,0,Nucleoplasm,SLU7,ENSG00000164609,A-431,O95391 A0A0C4DGD2 E5RGM7 E5RK41
