,x,y,id,location_code,location,gene,gene_ensembl_id,cell_line,Uniprot
43070,-0.38655186,-5.7945266,35881_900_G5_1,0 2,"Nucleoplasm,Nucleoli",LYAR,ENSG00000145220,A-431,Q9NX58 D6RDJ1
43071,-0.21468219,-5.8968663,35881_900_G5_2,0 2,"Nucleoplasm,Nucleoli",LYAR,ENSG00000145220,A-431,Q9NX58 D6RDJ1
43696,0.13412748,-5.6860414,36593_595_E5_8,0 2,"Nucleoplasm,Nucleoli",DDX21,ENSG00000165732,U-251 MG,Q9NR30
43697,0.16768241,-5.5938573,36593_595_E5_7,0 2,"Nucleoplasm,Nucleoli",DDX21,ENSG00000165732,U-251 MG,Q9NR30
43698,-0.2733359,-6.006028,36592_441_D9_3,0 2,"Nucleoplasm,Nucleoli",DDX21,ENSG00000165732,A-431,Q9NR30
43699,-0.27546915,-5.955843,36592_441_D9_2,0 2,"Nucleoplasm,Nucleoli",DDX21,ENSG00000165732,A-431,Q9NR30
43700,-0.8271212,-5.9501605,36592_432_D9_2,0 2,"Nucleoplasm,Nucleoli",DDX21,ENSG00000165732,U-2 OS,Q9NR30
43701,-0.31114075,-6.0261354,36592_432_D9_1,0 2,"Nucleoplasm,Nucleoli",DDX21,ENSG00000165732,U-2 OS,Q9NR30
43702,-0.23407549,-5.868051,36592_430_D9_2,0 2,"Nucleoplasm,Nucleoli",DDX21,ENSG00000165732,U-251 MG,Q9NR30
43703,-0.23965372,-5.878722,36592_430_D9_1,0 2,"Nucleoplasm,Nucleoli",DDX21,ENSG00000165732,U-251 MG,Q9NR30
43783,-1.2726796,-4.2196903,49042_896_C10_4,0 2,"Nucleoplasm,Nucleoli",RBBP5,ENSG00000117222,PC-3,Q15291
43784,-0.48820516,-5.1451263,49042_896_C10_1,0 2,"Nucleoplasm,Nucleoli",RBBP5,ENSG00000117222,PC-3,Q15291
43786,-0.7973488,-4.692626,49042_748_C10_2,0 2,"Nucleoplasm,Nucleoli",RBBP5,ENSG00000117222,A-431,Q15291
43789,-0.4240024,-5.437771,49042_748_C10_1,0 2,"Nucleoplasm,Nucleoli",RBBP5,ENSG00000117222,A-431,Q15291
43793,-0.59308034,-5.0234857,49042_728_C10_2,0 2,"Nucleoplasm,Nucleoli",RBBP5,ENSG00000117222,U-2 OS,Q15291
